LIMIT_BAL,total_bill,default,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,AGE_BIN,BAL_BIN
20000,7887,1,2,2,-1,-1,-2,-2,0,1,0,0,0,0,3960,3163,764,0,0,0,1,1
120000,17090,1,-1,2,0,0,0,2,0,1,1,1,0,1,2691,1728,2679,3264,3458,3270,1,1
140000,65716,1,0,0,2,0,0,0,1,0,1,1,1,1,11345,14177,12209,12332,11874,3779,1,2
70000,338752,1,1,2,2,0,0,2,1,0,1,1,1,0,65816,67381,65710,66788,36149,36908,2,1
320000,965629,1,0,0,0,-1,-1,-1,1,1,1,1,1,1,253253,246476,194577,69961,5796,195566,2,2
120000,1747,1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,0,300,283,265,0,599,300,2,1
70000,265563,1,2,0,0,2,2,2,1,1,0,1,0,1,41104,42460,45033,44017,46920,46029,1,1
60000,-323,1,1,-2,-1,-1,-1,-1,0,1,0,1,0,1,-94,-413,269,-50,139,-174,1,1
50000,152122,1,2,0,0,0,0,0,1,1,1,1,1,1,30552,29659,22150,22789,23258,23714,2,1
50000,728,1,1,-1,-1,-2,-2,-2,1,0,0,0,0,0,0,728,0,0,0,0,1,1
20000,79291,1,0,0,2,-1,0,0,1,0,1,1,0,0,14032,16480,15788,16320,16671,0,1,1
150000,10119,1,0,0,-1,0,0,-2,1,1,0,0,0,0,4512,3097,1248,1262,0,0,2,2
70000,229193,1,1,2,2,2,2,0,0,1,1,0,1,1,37068,36201,38388,39459,38689,39388,2,1
500000,109750,1,0,0,0,0,0,0,1,1,1,1,1,1,22861,23647,18883,14939,13836,15584,1,2
50000,57994,1,0,0,0,-2,-2,-2,1,0,0,0,0,0,28766,29228,0,0,0,0,2,1
200000,470003,1,-2,-2,-2,-1,2,2,0,0,1,1,0,1,152565,148810,144148,8259,8257,7964,3,2
320000,362253,1,2,2,2,2,2,2,1,1,0,1,1,1,58285,59263,60200,58637,62324,63544,1,2
60000,143704,1,0,0,0,0,0,0,1,1,1,1,1,0,26346,27494,28132,22017,19922,19793,2,1
360000,3588,1,-1,-1,2,0,-1,-1,1,0,0,1,1,1,406,1183,791,399,403,406,2,2
200000,862553,1,2,2,2,2,2,2,1,1,1,1,1,1,138228,140836,142536,144188,147186,149579,3,2
100000,3628,1,-2,-2,-2,-2,-2,-2,1,0,0,0,0,0,-1967,5595,0,0,0,0,1,1
50000,83929,1,0,0,0,0,0,0,1,1,1,1,1,1,18744,18182,17020,13174,8888,7921,1,1
20000,93462,1,0,0,0,0,0,-1,1,1,1,1,1,0,18006,19407,19605,18293,17968,183,2,1
30000,117708,1,-1,2,0,0,3,2,0,1,1,0,1,1,18211,17627,18636,21320,20701,21213,1,1
50000,290080,1,2,2,2,3,2,2,1,1,1,1,1,0,45994,45951,48913,48796,49293,51133,2,1
310000,1626468,1,2,0,0,0,0,0,1,1,1,1,1,1,304991,311233,306294,258580,246481,198889,2,2
180000,668618,1,0,0,0,0,0,0,1,1,1,1,1,1,163716,116381,99217,95685,97712,95907,2,2
50000,30436,1,0,0,0,0,0,0,1,1,1,1,1,1,3343,3882,4474,5306,6358,7073,3,1
60000,264279,1,3,2,2,0,0,0,1,1,1,1,1,1,60545,61475,57271,28882,29535,26571,3,1
50000,6950,1,-1,-1,-1,-1,-2,-2,1,1,0,0,0,0,763,306,5881,0,0,0,3,1
240000,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
170000,105041,1,0,0,0,0,0,0,1,1,1,1,1,0,19279,20319,20853,17556,17924,9110,1,2
210000,805469,1,2,3,4,4,5,6,1,1,1,1,1,1,115794,122908,129846,137270,145537,154114,2,2
50000,-11127,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,-655,-638,-621,-2794,-3201,-3218,1,1
