ID,default
5,0.27
7,0
17,0.27
20,0.13
24,0.05
31,0.37
42,0.01
46,0.19
62,0.19
63,0.93
67,0.56
73,0.04
74,0.07
79,0.02
80,0.25
89,0.16
90,0.85
94,0.01
98,0
101,0.04
104,0.28
106,0.26
109,0.13
111,0.03
113,0.96
117,0.03
118,0.75
119,0.02
122,0.25
123,0.23
126,0.25
136,0.35
137,0.02
148,0.23
149,0.55
151,0.16
153,0.24
155,0.23
156,0
157,0.04
158,0.04
161,0.71
164,0.1
166,0.9
167,0.01
170,0
172,0.06
176,0.81
178,0.59
189,0.11
192,0.89
195,0.05
196,0.69
202,0.21
203,0.04
206,0.39
219,0
220,0.11
224,0.01
229,0.55
234,0.88
245,0.47
246,0.06
259,0.05
263,0.04
265,0.15
267,0.45
276,0.06
278,0.08
279,0.04
288,0.01
289,0.81
294,0.12
302,0.46
305,0.04
307,0.02
309,0.95
313,0.43
320,0.14
326,0.07
338,0.15
349,0.05
352,0.26
358,0.01
365,0.05
366,0.26
367,0.02
368,0.25
372,0.29
374,0.83
378,0.09
384,0.15
387,0.25
394,0
398,0.04
405,0.7
410,0.1
413,0.14
419,0.01
421,0.76
425,0
426,0.1
443,0.05
445,0.05
452,0.83
453,0.15
454,0.07
457,0.59
462,0.17
463,0.02
467,0.01
480,0
486,0.05
489,0.16
490,0.02
491,0.09
492,0.78
493,0.05
494,0.12
498,0.13
503,0.12
508,0.12
509,0.1
511,0.16
512,0.15
517,0.17
532,0.2
536,0.21
537,0.23
539,0.24
542,0
545,0
546,0
549,0.1
551,0.82
554,0.17
556,0.07
560,0.62
568,0.02
570,0.1
575,0.21
576,0.9
583,0.25
589,0.04
591,0.01
596,0.01
603,0.03
604,0.74
608,0.19
611,0.06
614,0.81
618,0.03
620,0
625,0.16
627,0.21
628,0.06
629,0.01
631,0.23
635,0.74
636,0.08
637,0.09
638,0
645,0.05
648,0.01
652,0.11
663,0.26
667,0.49
669,0.58
680,0.34
681,0.06
685,0.01
689,0.09
694,0.14
702,0.02
704,0.56
705,0.52
714,0.03
715,0.02
720,0.02
722,0.08
727,0
730,0.68
736,0.15
741,0.01
743,0.06
746,0
751,0.06
752,0.85
754,0.04
769,0.26
774,0.01
777,0.07
781,0.54
784,0.28
791,0.49
792,0.22
795,0.04
807,0.21
810,0.3
821,0.53
828,0.64
829,0.12
831,0.24
833,0
834,0.09
835,0.01
837,0.87
838,0.07
846,0.13
850,0.72
853,0.11
855,0.1
860,0
861,0
863,0.81
866,0.03
869,0.04
870,0.07
871,0.12
872,0
874,0.04
876,0.07
882,0.07
896,0.06
897,0.71
901,0.24
902,0.19
904,0.37
914,0.09
916,0.23
917,0.04
920,0.12
924,0.16
930,0.21
935,0.06
942,0.12
945,0
961,0.25
967,0.21
970,0
972,0.01
973,0.76
974,0.09
977,0.56
981,0.05
988,0.89
990,0.77
992,0.33
996,0.16
1013,0.04
1025,0.01
1026,0.25
1027,0.05
1032,0.14
1034,0
1036,0.78
1038,0.65
1040,0.48
1043,0.02
1050,0.19
1053,0.2
1057,0.11
1062,0.04
1064,0.02
1066,0
1070,0.14
1072,0.13
1076,0
1079,0.2
1084,0.4
1090,0.01
1091,0
1093,0.32
1100,0.04
1106,0.36
1109,0.17
1111,0.51
1119,0.72
1125,0.15
1128,0.05
1129,0.12
1132,0.15
1133,0.56
1134,0.6
1137,0.19
1141,0.13
1144,0.31
1154,0.03
1155,0.54
1156,0.03
1167,0.21
1176,0.59
1177,0.01
1186,0.11
1188,0.3
1189,0.05
1197,0.09
1199,0.03
1202,0.08
1203,0.06
1209,0.13
1213,0.11
1220,0.06
1222,0.25
1230,0.14
1232,0.11
1235,0.03
1238,0.13
1242,0.69
1246,0.79
1248,0.13
1253,0.05
1259,0.18
1271,0.92
1276,0.13
1277,0
1280,0.31
1282,0.19
1283,0.08
1285,0
1287,0
1288,0.24
1291,0.05
1293,0.13
1299,0.04
1310,0
1312,0.92
1314,0
1315,0.54
1316,0.19
1327,0.1
1329,0.11
1342,0.06
1346,0.36
1348,0.09
1356,0
1357,0.06
1370,0.04
1388,0.51
1392,0.15
1396,0.14
1400,0.13
1402,0.7
1415,0
1431,0.08
1433,0.86
1434,0.2
1447,0.16
1450,0.05
1454,0.31
1470,0.26
1471,0.14
1472,0.02
1474,0.17
1475,0.19
1482,0.09
1483,0.03
1484,0.2
1485,0
1488,0.03
1491,0.25
1493,0.81
1494,0.09
1497,0.75
1498,0.37
1524,0.74
1529,0.27
1530,0.19
1532,0.16
1536,0.06
